Company,Status
01.AI,"Already contacted (email, LinkedIn or form)"
AAAI / Goafest,"Already contacted (email, LinkedIn or form)"
Abundantia Entertainment,"Already contacted (email, LinkedIn or form)"
Accor (Asia Pacific),"Already contacted (email, LinkedIn or form)"
Acer,"Already contacted (email, LinkedIn or form)"
Acronis,"Already contacted (email, LinkedIn or form)"
Acura,"Already contacted (email, LinkedIn or form)"
Adani AI Labs,"Already contacted (email, LinkedIn or form)"
Adani Digital Labs,"Already contacted (email, LinkedIn or form)"
ADATA (XPG),"Already contacted (email, LinkedIn or form)"
"ADATA Technology Co., Ltd.","Already contacted (email, LinkedIn or form)"
Adgully,"Already contacted (email, LinkedIn or form)"
Aditya Birla Fashion & Retail (ABFRL),"Already contacted (email, LinkedIn or form)"
Aditya Birla Group,"Already contacted (email, LinkedIn or form)"
Adobe,"Already contacted (email, LinkedIn or form)"
Air India,"Already contacted (email, LinkedIn or form)"
AIVA Technologies,"Already contacted (email, LinkedIn or form)"
Al Fardan Exchange,"Already contacted (email, LinkedIn or form)"
Alfardan Exchange,"Already contacted (email, LinkedIn or form)"
Alibaba Cloud,"Already contacted (email, LinkedIn or form)"
Amagi,"Already contacted (email, LinkedIn or form)"
Amazon MGM Studios / Prime Video,"Already contacted (email, LinkedIn or form)"
Amazon Prime Video India,"Already contacted (email, LinkedIn or form)"
Amazon Web Services,"Already contacted (email, LinkedIn or form)"
Amazon Web Services (AWS),"Already contacted (email, LinkedIn or form)"
AMD,"Already contacted (email, LinkedIn or form)"
American Express,"Already contacted (email, LinkedIn or form)"
Ampere Computing,"Already contacted (email, LinkedIn or form)"
Amul (GCMMF),"Already contacted (email, LinkedIn or form)"
Analog Devices,"Already contacted (email, LinkedIn or form)"
AndaSeat,"Already contacted (email, LinkedIn or form)"
Angel One,"Already contacted (email, LinkedIn or form)"
Anibrain,"Already contacted (email, LinkedIn or form)"
Animoto,"Already contacted (email, LinkedIn or form)"
Anker,"Already contacted (email, LinkedIn or form)"
Anthropic,"Already contacted (email, LinkedIn or form)"
AOC / AGON by AOC,"Already contacted (email, LinkedIn or form)"
AOC / AGON by AOC (TPV Technology),"Already contacted (email, LinkedIn or form)"
Apollo Hospitals Group,"Already contacted (email, LinkedIn or form)"
Apollo Tyres,"Already contacted (email, LinkedIn or form)"
Applause Entertainment,"Already contacted (email, LinkedIn or form)"
Apple India,"Already contacted (email, LinkedIn or form)"
Aputure,"Already contacted (email, LinkedIn or form)"
Arm Holdings,"Already contacted (email, LinkedIn or form)"
ARRI,"Already contacted (email, LinkedIn or form)"
Artflow,"Already contacted (email, LinkedIn or form)"
Asian Paints,"Already contacted (email, LinkedIn or form)"
ASML,"Already contacted (email, LinkedIn or form)"
ASRock,"Already contacted (email, LinkedIn or form)"
ASRock Inc.,"Already contacted (email, LinkedIn or form)"
AssemblyAI,"Already contacted (email, LinkedIn or form)"
ASUS,"Already contacted (email, LinkedIn or form)"
ASUS (ROG),"Already contacted (email, LinkedIn or form)"
ASUS India,"Already contacted (email, LinkedIn or form)"
AT&T,"Already contacted (email, LinkedIn or form)"
Ather Energy,"Already contacted (email, LinkedIn or form)"
Atlassian,"Already contacted (email, LinkedIn or form)"
Atomos,"Already contacted (email, LinkedIn or form)"
Audi India,"Already contacted (email, LinkedIn or form)"
Audio-Technica,"Already contacted (email, LinkedIn or form)"
Autel Robotics,"Already contacted (email, LinkedIn or form)"
Autodesk,"Already contacted (email, LinkedIn or form)"
AutoFull,"Already contacted (email, LinkedIn or form)"
Avid Technology,"Already contacted (email, LinkedIn or form)"
AWS,"Already contacted (email, LinkedIn or form)"
Axis Bank,"Already contacted (email, LinkedIn or form)"
Backblaze,"Already contacted (email, LinkedIn or form)"
Baidu,"Already contacted (email, LinkedIn or form)"
Bajaj Electricals,"Already contacted (email, LinkedIn or form)"
Bajaj Finserv,"Already contacted (email, LinkedIn or form)"
Balaji Telefilms,"Already contacted (email, LinkedIn or form)"
Balaji Telefilms Ltd,"Already contacted (email, LinkedIn or form)"
Banca Transilvania,"Already contacted (email, LinkedIn or form)"
Bandai Namco Entertainment,"Already contacted (email, LinkedIn or form)"
Barco NV,"Already contacted (email, LinkedIn or form)"
Baseten,"Already contacted (email, LinkedIn or form)"
Beijing Zhongguancun Tongli,"Already contacted (email, LinkedIn or form)"
Bennett Coleman & Co (Times Group),"Already contacted (email, LinkedIn or form)"
Bennett Coleman & Co. Ltd. (The Times of India),"Already contacted (email, LinkedIn or form)"
BenQ,"Already contacted (email, LinkedIn or form)"
BenQ India,"Already contacted (email, LinkedIn or form)"
Berger Paints India,"Already contacted (email, LinkedIn or form)"
Bharti Airtel,"Already contacted (email, LinkedIn or form)"
Biostar,"Already contacted (email, LinkedIn or form)"
Bisleri International,"Already contacted (email, LinkedIn or form)"
Bitdefender,"Already contacted (email, LinkedIn or form)"
Bitget,"Already contacted (email, LinkedIn or form)"
Black Forest Labs,"Already contacted (email, LinkedIn or form)"
Blackmagic Design,"Already contacted (email, LinkedIn or form)"
Blinkit,"Already contacted (email, LinkedIn or form)"
Blue Star,"Already contacted (email, LinkedIn or form)"
Blue Star India,"Already contacted (email, LinkedIn or form)"
BMW Group India,"Already contacted (email, LinkedIn or form)"
boAt,"Already contacted (email, LinkedIn or form)"
boAt (Imagine Marketing),"Already contacted (email, LinkedIn or form)"
Boehringer Ingelheim,"Already contacted (email, LinkedIn or form)"
